"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 25, 2018","17.551","17.525","17.525","17.525","0.00K","0.72%"
"Jan 24, 2018","17.425","17.425","17.425","17.425","0.00K","3.38%"
"Jan 23, 2018","16.855","16.855","16.855","16.855","0.01K","-0.45%"
"Jan 22, 2018","16.931","16.985","16.985","16.985","0.00K","-0.87%"
"Jan 21, 2018","17.080","17.060","17.100","17.040","-","0.62%"
"Jan 19, 2018","16.975","16.935","16.990","16.935","0.04K","0.49%"
"Jan 18, 2018","16.893","17.000","17.010","16.960","0.01K","-1.24%"
"Jan 17, 2018","17.105","17.095","17.120","16.970","0.09K","-0.10%"
"Jan 16, 2018","17.122","17.305","17.325","17.305","0.00K","-1.48%"
"Jan 15, 2018","17.380","17.240","17.445","17.225","-","0.78%"
"Jan 14, 2018","17.245","17.240","17.270","17.225","-","1.03%"
"Jan 12, 2018","17.069","16.925","17.120","16.920","0.05K","1.04%"
"Jan 11, 2018","16.894","16.955","16.965","16.905","0.04K","-0.41%"
"Jan 10, 2018","16.963","16.960","16.960","16.955","0.18K","0.16%"
"Jan 09, 2018","16.936","16.945","16.945","16.945","0.01K","-0.75%"
"Jan 08, 2018","17.064","17.064","17.064","17.064","-","-1.19%"
"Jan 07, 2018","17.270","17.280","17.285","17.270","-","0.38%"
"Jan 05, 2018","17.205","17.205","17.205","17.205","-","0.09%"
"Jan 04, 2018","17.189","17.085","17.230","17.085","0.03K","0.02%"
"Jan 03, 2018","17.185","17.080","17.160","17.080","0.00K","0.37%"
"Jan 02, 2018","17.121","17.155","17.160","17.125","0.03K","0.30%"
"Jan 01, 2018","17.070","17.025","17.085","17.020","-","0.06%"
"Dec 29, 2017","17.060","16.920","17.045","16.920","0.02K","1.35%"
"Dec 28, 2017","16.832","16.650","16.820","16.650","0.21K","1.28%"
"Dec 27, 2017","16.619","16.595","16.625","16.580","0.09K","0.60%"
"Dec 26, 2017","16.520","16.480","16.480","16.480","0.06K","0.79%"
